run_name,seed,imin,imax,k,tx_range,nb_nodes,send_interval,objective_function,n_samples,n_observed_nodes,pdr_global_mean,pdr_global_std,pdr_global_min,pdr_global_max,pdr_window_mean,pdr_window_std,pdr_window_min,pdr_window_max,delay_avg_ms_mean,delay_avg_ms_std,delay_avg_ms_min,delay_avg_ms_max,rssi_avg_mean,rssi_avg_std,rssi_avg_min,rssi_avg_max,etx_mean,etx_std,etx_min,etx_max,rank_mean,rank_std,rank_min,rank_max,parent_rank_mean,parent_rank_std,parent_rank_min,parent_rank_max,neighbors_mean,neighbors_std,neighbors_min,neighbors_max,radio_tx_ticks_mean,radio_tx_ticks_std,radio_tx_ticks_min,radio_tx_ticks_max,radio_listen_ticks_mean,radio_listen_ticks_std,radio_listen_ticks_min,radio_listen_ticks_max,radio_tx_percent_mean,radio_tx_percent_std,radio_tx_percent_min,radio_tx_percent_max,radio_listen_percent_mean,radio_listen_percent_std,radio_listen_percent_min,radio_listen_percent_max,energy_cpu_mj_mean,energy_cpu_mj_std,energy_cpu_mj_min,energy_cpu_mj_max,energy_lpm_mj_mean,energy_lpm_mj_std,energy_lpm_mj_min,energy_lpm_mj_max,energy_radio_tx_mj_mean,energy_radio_tx_mj_std,energy_radio_tx_mj_min,energy_radio_tx_mj_max,energy_radio_rx_mj_mean,energy_radio_rx_mj_std,energy_radio_rx_mj_min,energy_radio_rx_mj_max,energy_estimated_mj_mean,energy_estimated_mj_std,energy_estimated_mj_min,energy_estimated_mj_max
run_0001_cfg_001_seed_1_mrhof,1,8,16,0,40.0,12,5,MRHOF,627,11,99.85848484848485,0.2670100110783731,97.43,100.0,99.87170653907495,1.1323086160239326,88.88,100.0,142.4066985645933,57.81919725896384,34,272,-73.63636363636364,10.20861401828214,-84,-51,1.0449122807017543,0.07914146124050345,1.0,1.53,3.5454545454545454,0.9883139428379533,2,5,2.5454545454545454,0.9883139428379533,1,4,3.272727272727273,1.4211791645789371,1,5,246276.22328548646,292382.8889258305,46008,1171280,59753723.77671451,292380.3133157147,58828720,59953992,0.4104603455796123,0.48730468080982225,0.07668,1.9521333333333335,99.58953965442039,0.48730468080982176,98.04786666666668,99.92332,90.0,0.0009684224779754969,89.990748,90.00925200000002,0.0,0.0,0.0,0.0,12.855618855502392,15.262386801928354,2.4016176,61.140816,3370.1100210066993,16.49024967100632,3317.939808,3381.4051488000005,3472.9656398622014,1.2283866257806408,3469.080624,3474.0674088
run_0002_cfg_001_seed_2_mrhof,2,8,16,0,40.0,12,5,MRHOF,627,11,99.97625199362041,0.2195256729002598,95.65,100.0,99.98405103668262,0.3993615319154359,90.0,100.0,142.76555023923444,58.13733514563368,37,275,-73.27272727272727,10.189135010517909,-84,-51,1.05170653907496,0.08296881514307462,1.0,1.82,3.547049441786284,0.9914668204322621,2,6,2.5454545454545454,0.9883139428379525,1,4,3.272727272727273,1.4211791645789371,1,5,249047.4768740032,207088.78357139614,48312,803512,59750952.523126,207089.91172268774,59196488,59951688,0.4150791316648823,0.34514797175294215,0.08052,1.3391866666666667,99.58492086833512,0.3451479717529412,98.66081333333334,99.91948000000001,90.0,0.0006934331868785927,89.99194800000001,90.00805199999999,0.0,0.0,0.0,0.0,13.000278292822966,10.810034502426877,2.5218863999999996,41.9433264,3369.9537223043067,11.679871021159615,3338.6819232000007,3381.2752032,3472.95400059713,0.8702200788952174,3470.6252496000006,3473.7970895999997
run_0003_cfg_001_seed_3_mrhof,3,8,16,0,40.0,12,5,MRHOF,627,11,99.92312599681021,0.18407992883983468,97.87,100.0,99.90539074960128,0.9655918902458429,88.88,100.0,141.2647527910686,57.33467761527132,41,270,-73.63636363636364,10.208614018282137,-84,-51,1.0434130781499202,0.07291397194452587,1.0,1.56,3.5454545454545454,0.9883139428379524,2,5,2.5454545454545454,0.9883139428379524,1,4,3.272727272727273,1.4211791645789364,1,5,245794.39872408294,292243.74751484627,46008,1154976,59754205.60127591,292243.77423611697,58845024,59953992,0.40965733130363596,0.4870729127286471,0.07668,1.9249599999999998,99.59034266869637,0.4870729127286467,98.07504,99.92332,90.0,0.00014040398126567155,89.997516,90.002484,0.0,0.0,0.0,0.0,12.830467613397127,15.255123620274984,2.4016176,60.289747199999994,3370.137195911962,16.482548866917003,3318.8593536000008,3381.4051488000005,3472.9676635253595,1.2274363836352713,3469.1491008000007,3473.8067664000005
run_0004_cfg_002_seed_1_of0,1,8,16,0,40.0,12,5,OF0,627,11,99.83448165869218,0.3178816328297845,96.61,100.0,99.90574162679427,0.960264315769278,90.0,100.0,142.2854864433812,57.62515061939851,40,271,-73.59649122807018,10.245930562919241,-84,-51,1.0410845295055822,0.0736178557823707,1.0,1.67,3.56140350877193,1.0145790018416916,2,7,2.547049441786284,0.991466820432262,1,5,3.272727272727273,1.4211791645789371,1,5,246852.5422647528,264096.4489229976,48312,1196992,59753147.45773525,264096.93388198456,58803008,59951688,0.41142090493510036,0.44016075027526447,0.08052,1.9949866666666667,99.5885790950649,0.44016075027526425,98.00501333333334,99.91948000000001,90.0,0.000629005604996884,89.992056,90.00794400000001,0.0,0.0,0.0,0.0,12.885702706220096,13.785834633780476,2.5218863999999996,62.4829824,3370.0775166162684,14.895067070943922,3316.4896512000005,3381.2752032,3472.9632193224884,1.1094795855942776,3468.9726336000003,3473.8146408000002
run_0005_cfg_002_seed_2_of0,2,8,16,0,40.0,12,5,OF0,627,11,99.93547049441787,0.2473086319390108,95.65,100.0,99.93763955342902,0.7795014653016813,90.0,100.0,142.35406698564594,58.17096919216568,40,270,-73.3030303030303,10.19070743173133,-84,-51,1.0545933014354067,0.08477155254678148,1.0,1.82,3.5661881977671452,1.0111227980655129,2,6,2.5486443381180224,0.9946071419976735,1,5,3.272727272727273,1.4211791645789371,1,5,249110.91547049442,215908.15056720833,53352,1188440,59750889.084529504,215908.11671255404,58810160,59946648,0.41518485817005735,0.35984692918778943,0.08892,1.980779551522869,99.58481514182994,0.35984692918778877,98.01922044847713,99.91108,90.0,0.00035227886136724536,89.99413200000001,90.005868,0.0,0.0,0.0,0.0,13.003589787559807,11.27040545960827,2.7849744,62.036567999999995,3369.950144367465,12.177217782588071,3316.8930240000004,3380.9909472000004,3472.953734155024,0.9069068247954016,3468.9274920000003,3473.7759216000004
run_0006_cfg_002_seed_3_of0,3,8,16,0,40.0,12,5,OF0,627,11,99.80867623604466,0.24468275501249823,98.9,100.0,99.85789473684211,1.1789883172282691,90.0,100.0,140.91228070175438,56.540355338915184,41,272,-73.56459330143541,10.214640089529004,-84,-51,1.0372248803827753,0.06907618718175414,1.0,1.61,3.558213716108453,1.0100336876060654,2,6,2.5486443381180224,0.9946071419976725,1,5,3.272727272727273,1.4211791645789364,1,5,245624.01275917064,272073.96464913286,46008,1164536,59754370.5645933,272090.88597611163,58835464,59953992,0.40937351834818414,0.4534570997203875,0.07668,1.9408933333333334,99.59062648165181,0.45345709972038745,98.05910666666666,99.92332,89.99999186602871,0.000392572715118729,89.99451599999999,90.005484,0.0,0.0,0.0,0.0,12.821573466028708,14.202260954684734,2.4016176,60.78877919999999,3370.1464998430624,15.345925969052704,3318.3201696000006,3381.4051488000005,3472.96806517512,1.1437831081941585,3469.1089488000007,3473.8067664000005
run_0007_cfg_003_seed_1_mrhof,1,8,16,0,40.0,12,10,MRHOF,627,11,99.96459330143541,0.1663312608190768,97.05,100.0,99.93620414673046,1.1286624203968183,80.0,100.0,137.93620414673046,56.98569755214535,35,291,-73.63636363636364,10.20861401828214,-84,-51,1.025470494417863,0.05200663824897395,1.0,1.35,3.5454545454545454,0.9883139428379533,2,5,2.5454545454545454,0.9883139428379533,1,4,3.272727272727273,1.4211791645789371,1,5,135799.5279106858,159248.83193888172,25560,658312,59864200.47208931,159249.0251179065,59341688,59974440,0.2263325473110095,0.2654147214904888,0.0426,1.0971866666666668,99.773667452689,0.2654147214904885,98.90281333333333,99.95739999999999,90.0,9.902889499953183e-05,89.998248,90.00175200000001,0.0,0.0,0.0,0.0,7.088735356937798,8.31278902720962,1.3342319999999999,34.36388639999999,3376.3409066258378,8.981645016649905,3346.8712032000003,3382.5584160000008,3473.429641982775,0.668866409557311,3471.2350896000003,3473.892648000001
run_0008_cfg_003_seed_2_mrhof,2,8,16,0,40.0,12,10,MRHOF,627,11,99.99371610845294,0.0668726493099106,98.87,100.0,100.0,0.0,100.0,100.0,136.36204146730464,55.051338464675624,30,293,-73.36363636363636,10.235337124533856,-84,-51,1.030622009569378,0.06349583539295399,1.0,1.5,3.5454545454545454,0.9883139428379525,2,5,2.5454545454545454,0.9883139428379525,1,4,3.272727272727273,1.4211791645789371,1,5,136442.7942583732,112168.05023158214,26840,481184,59863557.20574163,112168.0502315822,59518816,59973160,0.22740465709728866,0.1869467503859702,0.04473333333333333,0.8019733333333332,99.77259534290272,0.18694675038597,99.19802666666668,99.95526666666666,90.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,7.122313860287082,5.855172222088584,1.4010479999999998,25.1178048,3376.304626403828,6.326278033061216,3356.8612224000003,3382.486224,3473.426940264115,0.471105810972609,3471.9790272000005,3473.8872720000004
run_0009_cfg_003_seed_3_mrhof,3,8,16,0,40.0,12,10,MRHOF,627,11,99.835677830941,0.5299843070222571,92.3,100.0,99.94682615629985,0.9407401274007453,83.33,100.0,136.26315789473685,55.4910633646036,29,272,-73.63636363636364,10.208614018282137,-84,-51,1.0243062200956938,0.05366404198477009,1.0,1.41,3.5454545454545454,0.9883139428379524,2,5,2.5454545454545454,0.9883139428379524,1,4,3.272727272727273,1.4211791645789364,1,5,135658.37320574163,158598.56317107918,25560,702944,59864341.626794256,158598.16015622756,59297056,59974440,0.22609728309573235,0.2643309125331327,0.0426,1.1715733333333334,99.77390271690426,0.26433091253313273,98.82842666666667,99.95739999999999,90.0,0.0007914372092786354,89.9919,90.00810000000001,0.0,0.0,0.0,0.0,7.081367081339712,8.278844997530326,1.3342319999999999,36.6936768,3376.348867751197,8.944936232811221,3344.3539584,3382.5584160000008,3473.4302348325364,0.666740054295507,3471.0476352,3474.1400184
run_0010_cfg_004_seed_1_of0,1,8,16,0,40.0,12,10,OF0,627,11,99.84663476874003,0.47435242449373144,94.11,100.0,99.93620414673046,1.128662420396817,80.0,100.0,137.1244019138756,56.53125879977173,33,298,-73.62998405103669,10.208384411848169,-84,-51,1.0300637958532697,0.09182214236087607,1.0,2.53,3.5629984051036683,1.0270009402660523,2,9,2.5454545454545454,0.9883139428379533,1,4,3.272727272727273,1.4211791645789371,1,5,135839.668261563,158287.95968650695,25560,650256,59864160.331738435,158288.4455375328,59349744,59974440,0.22639944864664113,0.2638132681532237,0.0426,1.0837599999999998,99.77360055135337,0.2638132681532236,98.91624,99.95739999999999,90.0,0.0003099740069494481,89.99451599999999,90.005484,0.0,0.0,0.0,0.0,7.090830683253588,8.262631495635663,1.3342319999999999,33.94336319999999,3376.338642710048,8.927468328316857,3347.3255616000006,3382.5584160000008,3473.429473393302,0.6649374096786081,3471.2689248000006,3473.892648000001
