timestamp_us,node_id,seq_no,rssi_dbm,pdr_percent,delay_ms
144002888,13,8,-65,100.0,586.0
145872632,2,12,-69,100.0,
147175888,16,7,-65,100.0,226.0
147685888,15,7,-65,100.0,177.0
148129632,5,13,-94,100.0,362.0
148575920,7,11,-65,100.0,36.0
149131920,6,11,-65,100.0,
149489888,12,9,-65,100.0,292.0
150294888,14,8,-94,100.0,164.0
150397920,9,10,-65,100.0,481.0
150602888,10,9,-65,100.0,318.0
150862632,3,13,-65,100.0,532.0
151759920,11,10,-94,100.0,
153963920,8,12,-94,100.0,
154302888,13,9,-65,100.0,614.0
154720632,4,13,-81,100.0,
156842632,2,13,-69,100.0,
157476632,5,14,-94,100.0,340.0
157777888,15,8,-65,100.0,209.0
158010888,16,8,-65,100.0,241.0
158708808,7,12,-65,100.0,59.0
159324920,6,12,-65,100.0,
159467920,9,11,-65,100.0,370.0
159757920,12,10,-65,100.0,349.0
160769920,10,10,-65,100.0,261.0
160894888,14,9,-94,100.0,175.0
161771632,3,14,-65,100.0,547.0
162608920,11,11,-94,100.0,
163646920,8,13,-94,100.0,
165001632,4,14,-81,100.0,
165174920,13,10,-65,100.0,588.0
167451632,2,14,-69,100.0,
167781888,15,9,-65,100.0,215.0
167968632,5,15,-94,100.0,376.0
168328888,16,9,-65,100.0,194.0
168720920,6,13,-65,100.0,
168839920,12,11,-65,100.0,341.0
169559808,7,13,-65,100.0,31.0
169808920,9,12,-65,100.0,350.0
170228920,14,10,-94,100.0,158.0
171052096,10,11,-65,100.0,249.0
171612920,11,12,-94,100.0,
171936632,3,15,-65,100.0,552.0
172984920,8,14,-94,100.0,
174396632,4,15,-81,100.0,
175611920,13,11,-65,100.0,573.0
177330920,15,10,-65,100.0,273.0
177460632,2,15,-69,100.0,
177598920,16,10,-65,100.0,297.0
178110920,6,14,-65,100.0,
178363920,12,12,-65,100.0,313.0
178592632,5,16,-94,100.0,375.0
179297920,7,14,-65,100.0,69.0
179820920,14,11,-94,100.0,191.0
180073920,10,12,-65,100.0,253.0
180489920,9,13,-65,100.0,430.0
181306096,11,13,-94,100.0,
181344632,3,16,-65,100.0,538.0
183764632,4,16,-81,100.0,
183908920,8,15,-94,100.0,
185294920,13,12,-65,100.0,621.0
186798920,15,11,-65,100.0,203.0
187363096,16,11,-65,100.0,223.0
187781920,6,15,-65,100.0,
188222920,12,13,-65,100.0,273.0
188276632,5,17,-94,100.0,374.0
188388632,2,16,-69,100.0,
189164920,14,12,-94,100.0,128.0
189692920,7,15,-65,100.0,121.0
189708920,10,13,-65,100.0,329.0
190764920,9,14,-65,100.0,414.0
191038632,3,17,-65,100.0,543.0
191246920,11,14,-94,100.0,
192964632,4,17,-81,100.0,1.0
193370920,8,16,-94,100.0,
196164920,13,13,-65,100.0,577.0
196414920,16,12,-65,100.0,214.0
197508920,15,12,-65,100.0,198.0
197563632,5,18,-94,100.0,360.0
197882632,2,17,-69,100.0,
198350920,12,14,-65,100.0,325.0
198534920,14,13,-94,100.0,155.0
198557920,6,16,-65,100.0,
198983920,7,16,-65,100.0,52.0
199590920,10,14,-65,100.0,275.0
200793920,11,15,-94,100.0,
201309920,9,15,-65,100.0,408.0
201863632,3,18,-65,100.0,548.0
203097632,4,18,-81,100.0,
203258920,8,17,-94,100.0,
205832920,13,14,-65,100.0,575.0
206415920,16,13,-65,100.0,238.0
207182632,2,18,-69,100.0,
207924632,5,19,-94,100.0,359.0
208143920,15,13,-65,100.0,254.0
208181096,12,15,-65,100.0,269.0
208983920,10,15,-65,100.0,213.0
209314920,14,14,-94,100.0,232.0
209352920,6,17,-65,100.0,
209577920,7,17,-65,100.0,40.0
209822920,11,16,-94,100.0,
211181632,3,19,-65,100.0,560.0
211945920,9,16,-65,100.0,399.0
213898920,8,18,-94,100.0,
213980632,4,19,-81,100.0,
216302920,13,15,-65,100.0,626.0
216751920,16,14,-65,100.0,212.0
216943632,5,20,-94,100.0,338.0
217459632,2,19,-69,100.0,
217986920,12,16,-65,100.0,280.0
218277096,15,14,-65,100.0,191.0
218459920,14,15,-94,100.0,163.0
218675920,10,16,-65,100.0,336.0
219397920,7,18,-65,100.0,84.0
219897920,6,18,-65,100.0,
220308920,11,17,-94,100.0,
221328632,3,20,-65,100.0,552.0
222309920,9,17,-65,100.0,402.0
223098632,4,20,-81,100.0,
224889920,8,19,-94,100.0,
226006632,5,21,-94,100.0,366.0
226373920,13,16,-65,100.0,609.0
227532096,16,15,-65,100.0,161.0
227751920,14,16,-94,100.0,284.0
227928920,12,17,-65,100.0,305.0
228240632,2,20,-69,100.0,
228243552,15,15,-65,100.0,206.0
228881920,7,19,-65,100.0,64.0
229502920,10,17,-65,100.0,244.0
230393920,6,19,-65,100.0,
230503920,11,18,-94,100.0,
231628920,9,18,-65,100.0,399.0
232261632,3,21,-65,100.0,528.0
234070632,4,21,-81,100.0,
235864920,8,20,-94,100.0,
235914632,5,22,-94,100.0,356.0
236038920,13,17,-65,100.0,672.0
237059920,16,16,-65,100.0,208.0
237786920,14,17,-94,100.0,153.0
237900920,15,16,-65,100.0,203.0
238032632,2,21,-69,100.0,
238419920,12,18,-65,100.0,322.0
238879920,7,20,-65,100.0,66.0
240318920,10,18,-65,100.0,256.0
240641920,6,20,-65,100.0,
241382920,11,19,-94,100.0,
241576920,9,19,-65,100.0,379.0
242289632,3,22,-65,100.0,535.0
244201632,4,22,-81,100.0,
246381920,13,18,-65,100.0,590.0
246449920,16,17,-65,100.0,270.0
246566920,8,21,-94,100.0,
246907632,5,23,-94,100.0,377.0
247350632,2,22,-69,100.0,
248152920,7,21,-65,100.0,86.0
248329920,14,18,-94,100.0,187.0
248371920,15,17,-65,100.0,258.0
248586920,12,19,-65,100.0,422.0
249460920,10,19,-65,100.0,267.0
249674920,6,21,-65,100.0,
251275096,11,20,-94,100.0,
252289920,9,20,-65,100.0,404.0
253069632,3,23,-65,100.0,556.0
253448632,4,23,-81,100.0,
255619920,8,22,-94,100.0,
255750920,13,19,-65,100.0,557.0
256186632,5,24,-94,100.0,353.0
256620920,16,18,-65,100.0,191.0
257312632,2,23,-69,100.0,
258253920,7,22,-65,100.0,49.0
258716712,15,18,-65,100.0,175.0
258773920,14,19,-94,100.0,160.0
258903920,6,22,-65,100.0,
259118920,12,20,-65,100.0,337.0
259720096,10,20,-65,100.0,220.0
261109920,11,21,-94,100.0,
262228920,9,21,-65,100.0,428.0
263547632,3,24,-65,100.0,544.0
263704632,4,24,-81,100.0,
264754920,8,23,-94,100.0,
265824920,16,19,-65,100.0,202.0
266142920,13,20,-65,100.0,615.0
266706632,5,25,-94,100.0,370.0
267206632,2,24,-69,100.0,
267797920,7,23,-65,100.0,58.0
268130096,14,20,-94,100.0,164.0
268965920,15,19,-65,100.0,206.0
269139920,12,21,-65,100.0,279.0
269162920,10,21,-65,100.0,249.0
269891920,6,23,-65,100.0,
270638920,11,22,-94,100.0,
272649920,9,22,-65,100.0,380.0
273869632,4,25,-81,100.0,
274127632,3,25,-65,100.0,543.0
274554920,8,24,-94,100.0,
274971920,16,20,-65,100.0,227.0
275109920,13,21,-65,100.0,578.0
275967632,5,26,-94,100.0,354.0
277382632,2,25,-69,100.0,
277797920,7,24,-65,100.0,44.0
277947096,14,21,-94,100.0,160.0
278968920,6,24,-65,100.0,
279807920,15,20,-65,100.0,227.0
279918712,11,23,-94,100.0,
279969920,10,22,-65,100.0,265.0
280086920,12,22,-65,100.0,415.0
281911096,9,23,-65,100.0,374.0
284408632,3,26,-65,100.0,560.0
284560808,8,25,-94,100.0,
284872632,4,26,-81,100.0,
285546920,16,21,-65,100.0,182.0
285818920,13,22,-65,100.0,621.0
286661632,5,27,-94,100.0,369.0
287084920,14,22,-94,100.0,159.0
287483632,2,26,-69,100.0,
288229920,7,25,-65,100.0,74.0
289009920,6,25,-65,100.0,
290202920,10,23,-65,100.0,271.0
290386920,11,24,-94,100.0,
290613920,15,21,-65,100.0,268.0
290948920,12,23,-65,100.0,304.0
291310920,9,24,-65,100.0,403.0
294257632,3,27,-65,100.0,522.0
294393920,8,26,-94,100.0,
294601632,4,27,-81,100.0,0.0
296524920,16,22,-65,100.0,216.0
296784920,13,23,-65,100.0,600.0
297419920,14,23,-94,100.0,146.0
297579632,5,28,-94,100.0,378.0
298091920,6,26,-65,100.0,
298261632,2,27,-69,100.0,
299189920,7,26,-65,100.0,54.0
299744920,11,25,-94,100.0,
300437920,9,25,-65,100.0,383.0
300908920,10,24,-65,100.0,270.0
301326920,15,22,-65,100.0,226.0
301422920,12,24,-65,100.0,396.0
303693632,3,28,-65,100.0,538.0
304548920,8,27,-94,100.0,
305128632,4,28,-81,100.0,
305664920,16,23,-65,100.0,200.0
307094808,13,24,-65,100.0,588.0
