run_name,seed,imin,imax,k,tx_range,nb_nodes,send_interval,objective_function,n_samples,pdr_window_mean,delay_avg_ms_mean,rssi_avg_mean,etx_mean,radio_tx_percent_mean,energy_estimated_mj_mean,energy_radio_tx_mj_mean
run_0032_cfg_011_seed_2_of0,2,8,16,0,40.0,16,20,OF0,855,100.0,171.0,-76.8,1.0383040935672514,0.1613512717122292,3473.5933948070174,5.0535216842105255
run_0033_cfg_011_seed_3_of0,3,8,16,0,40.0,16,20,OF0,855,99.92201169590643,167.2795321637427,-76.93801169590644,1.0256491228070177,0.1600553836461449,3473.596660412632,5.012934871578947
run_0046_cfg_016_seed_1_mrhof,1,8,16,0,50.0,12,5,MRHOF,627,99.91846889952151,113.64593301435409,-69.72727272727273,1.0305741626794258,0.3171164040964087,3473.20086665646,9.932085841148323
run_0047_cfg_016_seed_2_mrhof,2,8,16,0,50.0,12,5,MRHOF,627,99.98226475279108,113.33971291866028,-69.54545454545455,1.02896331738437,0.3187808879377629,3473.197194208613,9.984220570334926
run_0048_cfg_016_seed_3_mrhof,3,8,16,0,50.0,12,5,MRHOF,627,99.9390749601276,113.20095693779903,-68.99681020733652,1.0269218500797448,0.317539759369604,3473.1997998162683,9.945345140669856
run_0049_cfg_017_seed_1_of0,1,8,16,0,50.0,12,5,OF0,627,99.9535885167464,114.08612440191388,-70.26953748006379,1.0313875598086124,0.3177747281213532,3473.199207663158,9.952704757894736
run_0050_cfg_017_seed_2_of0,2,8,16,0,50.0,12,5,OF0,627,99.98405103668262,113.50717703349282,-68.41307814992025,1.0236842105263158,0.3186733908182756,3473.1969430124404,9.980851131100478
run_0051_cfg_017_seed_3_of0,3,8,16,0,50.0,12,5,OF0,627,99.9535885167464,113.34290271132376,-69.89154704944178,1.0260765550239237,0.3179946225280447,3473.1986535043065,9.959592160765547
run_0052_cfg_018_seed_1_of0,1,8,16,0,50.0,12,10,OF0,627,99.96810207336524,110.55342902711324,-69.20893141945774,1.0165709728867622,0.1778540361522337,3473.551807831579,5.570388378947368
run_0053_cfg_018_seed_2_of0,2,8,16,0,50.0,12,10,OF0,627,99.94151515151516,110.15948963317383,-69.48803827751196,1.01377990430622,0.1784321601925946,3473.550458778948,5.588495701435407
run_0054_cfg_018_seed_3_of0,3,8,16,0,50.0,12,10,OF0,627,99.91492822966508,110.39234449760764,-67.77830940988835,1.0197607655502392,0.1777824923599797,3473.552268830623,5.568147858373206
run_0055_cfg_019_seed_1_mrhof,1,8,16,0,50.0,16,5,MRHOF,855,99.81787134502925,159.2327485380117,-73.71695906432748,1.069204678362573,0.4674992577268466,3472.8219018666678,14.6420768
run_0056_cfg_019_seed_2_mrhof,2,8,16,0,50.0,16,5,MRHOF,855,99.81209356725144,157.61520467836257,-71.50175438596492,1.0569122807017544,0.4684031920098209,3472.819623983158,14.670387637894736
run_0057_cfg_019_seed_3_mrhof,3,8,16,0,50.0,16,5,MRHOF,855,99.906432748538,157.66198830409357,-71.90409356725146,1.0672865497076025,0.4675767231626437,3472.821706672281,14.64450278736842
run_0058_cfg_020_seed_1_of0,1,8,16,0,50.0,16,5,OF0,855,99.92023391812866,159.31812865497076,-70.94970760233919,1.0593333333333337,0.4712003972518477,3472.812574899649,14.757997675789472
