run_name,config_id,seed,imin,imax,k,tx_range,nb_nodes,send_interval,objective_function,status,rows_added,error
run_0052_cfg_006_seed_2_of0,6,2,8,16,0,40.0,12,20,OF0,SUCCESS,627,
run_0053_cfg_006_seed_3_of0,6,3,8,16,0,40.0,12,20,OF0,SUCCESS,627,
run_0054_cfg_006_seed_4_of0,6,4,8,16,0,40.0,12,20,OF0,SUCCESS,627,
run_0055_cfg_006_seed_5_of0,6,5,8,16,0,40.0,12,20,OF0,SUCCESS,627,
run_0056_cfg_006_seed_6_of0,6,6,8,16,0,40.0,12,20,OF0,SUCCESS,627,
run_0057_cfg_006_seed_7_of0,6,7,8,16,0,40.0,12,20,OF0,SUCCESS,627,
run_0058_cfg_006_seed_8_of0,6,8,8,16,0,40.0,12,20,OF0,SUCCESS,627,
run_0059_cfg_006_seed_9_of0,6,9,8,16,0,40.0,12,20,OF0,SUCCESS,627,
run_0060_cfg_006_seed_10_of0,6,10,8,16,0,40.0,12,20,OF0,SUCCESS,627,
run_0061_cfg_007_seed_1_mrhof,7,1,8,16,0,40.0,16,5,MRHOF,SUCCESS,855,
run_0062_cfg_007_seed_2_mrhof,7,2,8,16,0,40.0,16,5,MRHOF,SUCCESS,855,
run_0063_cfg_007_seed_3_mrhof,7,3,8,16,0,40.0,16,5,MRHOF,SUCCESS,855,
run_0064_cfg_007_seed_4_mrhof,7,4,8,16,0,40.0,16,5,MRHOF,SUCCESS,855,
run_0065_cfg_007_seed_5_mrhof,7,5,8,16,0,40.0,16,5,MRHOF,SUCCESS,855,
run_0066_cfg_007_seed_6_mrhof,7,6,8,16,0,40.0,16,5,MRHOF,SUCCESS,855,
run_0067_cfg_007_seed_7_mrhof,7,7,8,16,0,40.0,16,5,MRHOF,SUCCESS,855,
run_0068_cfg_007_seed_8_mrhof,7,8,8,16,0,40.0,16,5,MRHOF,SUCCESS,855,
run_0069_cfg_007_seed_9_mrhof,7,9,8,16,0,40.0,16,5,MRHOF,SUCCESS,855,
run_0070_cfg_007_seed_10_mrhof,7,10,8,16,0,40.0,16,5,MRHOF,SUCCESS,855,
run_0071_cfg_008_seed_1_of0,8,1,8,16,0,40.0,16,5,OF0,SUCCESS,855,
